,,,,,,,,,,,,,,,,,,,,,
Almonds: U.S. exports by unit value ($ per pound),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Show/hide quarterly totals,,,Quarter 1,,,,,Quarter 2,,,,,Quarter 3,,,,Quarter 4,,,,
Fresh or dried_,,Market year*,Aug,Sep,Oct,Q1,,Nov,Dec,,Jan,Q2,Feb,Mar,Apr,Q3,May,Jun,Jul,Q4,Avg
,,2014/15,3.20,3.09,3.26,3.19,,3.38,3.47,,3.64,3.47,3.59,3.67,NA,3.64,NA,NA,NA,NaN,3.40
,,2013/14,2.86,2.71,2.78,2.78,,2.87,3.00,,3.14,2.98,3.18,3.23,3.34,3.25,3.26,3.29,3.32,3.29,3.04
,,2012/13,2.25,2.14,2.21,2.20,,2.19,2.36,,2.57,2.35,2.63,2.84,2.93,2.77,2.91,2.79,2.78,2.82,2.49
,,2011/12,2.13,1.98,1.92,1.98,,1.91,2.01,,2.03,1.97,2.06,2.15,2.25,2.15,2.31,2.35,2.35,2.34,2.08
,,2010/11,1.83,1.86,1.88,1.87,,1.84,1.97,,2.09,1.94,2.04,2.04,2.06,2.05,2.04,2.03,2.10,2.06,1.97
,,2009/10,1.52,1.56,1.56,1.55,,1.60,1.68,,1.79,1.68,1.96,1.97,2.11,2.01,2.10,2.01,1.94,2.01,1.77
Prepared or preserved ,,Market year*,Aug,Sep,Oct,Q1,,Nov,Dec,,Jan,Q2,Feb,Mar,Apr,Q3,May,Jun,Jul,Q4,Avg
,,2014/15,1.98,1.97,1.85,1.93,,1.84,1.82,,1.84,1.83,1.90,1.77,NA,1.81,NA,NA,NA,NaN,1.85
,,2013/14,2.24,2.16,2.12,2.17,,2.01,2.07,,1.97,2.02,2.03,1.99,1.85,1.96,1.99,1.87,1.93,1.93,2.01
,,2012/13,2.37,2.48,2.45,2.43,,2.32,2.27,,2.26,2.28,2.25,2.36,2.29,2.30,2.32,2.23,2.20,2.25,2.31
,,2011/12,2.42,2.29,2.40,2.36,,2.44,2.36,,2.33,2.38,2.50,2.48,2.35,2.44,2.37,2.51,2.36,2.41,2.40
,,2010/11,2.10,2.04,2.24,2.13,,2.01,2.48,,2.46,2.26,2.49,2.32,2.21,2.33,2.28,2.25,2.37,2.30,2.25
,,2009/10,1.89,1.82,1.87,1.86,,1.90,1.97,,2.18,1.99,2.27,2.51,2.45,2.40,2.32,2.29,2.17,2.25,2.10
,,,,,,,,,,,,,,,,,,,,,
,Unit value: Calculated by dividing value by volume.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
