,,,,,,,,,,,,,,,,,,,,,
Grapes: U.S. exports by unit value ($ per pound),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Show/hide quarterly totals,,,Quarter 1,,,,,Quarter 2,,,,,Quarter 3,,,,Quarter 4,,,,
Dried,,Market year*,Aug,Sep,Oct,Q1,,Nov,Dec,,Jan,Q2,Feb,Mar,Apr,Q3,May,Jun,Jul,Q4,Avg
,,2014/15,1.19,1.24,1.28,1.24,,1.26,1.22,,1.25,1.24,1.29,1.26,NA,1.27,NA,NA,NA,NaN,1.25
,,2013/14,1.31,1.33,1.25,1.30,,1.27,1.22,,1.23,1.24,1.20,1.22,1.20,1.21,1.21,1.20,1.18,1.20,1.23
,,2012/13,1.33,1.35,1.36,1.35,,1.38,1.38,,1.37,1.38,1.36,1.36,1.35,1.35,1.34,1.36,1.35,1.35,1.36
,,2011/12,1.21,1.21,1.22,1.21,,1.39,1.32,,1.31,1.34,1.31,1.33,1.30,1.31,1.34,1.34,1.32,1.33,1.30
,,2010/11,0.95,1.02,1.00,0.98,,1.03,1.04,,1.17,1.08,1.20,1.20,1.20,1.20,1.19,1.22,1.22,1.21,1.12
,,2009/10,0.82,0.80,0.87,0.82,,0.86,0.92,,0.92,0.90,0.90,0.93,0.92,0.92,0.91,0.93,0.94,0.93,0.89
Fresh,,Market year*,May,Jun,Jul,Q1,,Aug,Sep,,Oct,Q2,Nov,Dec,Jan,Q3,Feb,Mar,Apr,Q4,Avg
,,2014/15,1.29,1.25,1.11,1.15,,1.03,0.94,,1.00,0.99,1.01,1.00,1.04,1.01,1.03,0.96,NA,1.00,1.01
,,2013/14,1.42,1.16,1.02,1.06,,0.96,0.92,,1.01,0.97,1.06,1.00,0.89,1.03,1.03,1.44,1.46,1.25,1.00
,,2012/13,1.44,1.13,1.06,1.08,,0.98,0.89,,1.01,0.96,1.14,1.16,1.42,1.16,1.38,1.11,1.32,1.26,1.02
,,2011/12,1.21,1.12,1.23,1.19,,0.96,0.83,,0.90,0.89,0.97,1.08,0.76,1.00,0.90,0.99,1.27,1.01,0.94
,,2010/11,1.06,0.90,0.90,0.91,,0.88,0.80,,0.87,0.85,0.88,0.96,1.43,0.91,1.22,1.12,1.13,1.15,0.88
,,2009/10,1.18,1.24,0.94,0.97,,0.85,0.79,,0.87,0.83,0.93,1.05,1.21,0.98,0.90,0.92,0.80,0.87,0.88
Juice,,Market year*,Aug,Sep,Oct,Q1,,Nov,Dec,,Jan,Q2,Feb,Mar,Apr,Q3,May,Jun,Jul,Q4,Avg
,,2014/15,6.09,7.52,8.16,7.25,,7.73,8.05,,7.30,7.66,7.69,8.07,NA,7.86,NA,NA,NA,NaN,7.54
,,2013/14,5.37,4.43,4.82,4.85,,5.34,5.59,,4.79,5.18,4.95,4.46,5.64,4.94,5.31,5.20,5.38,5.29,5.04
,,2012/13,5.89,4.84,5.71,5.51,,5.55,5.48,,5.41,5.47,5.01,5.48,5.18,5.22,4.93,5.07,4.68,4.90,5.27
,,2011/12,5.89,5.25,5.49,5.48,,5.88,4.61,,5.37,5.16,5.47,5.64,6.33,5.83,5.67,5.57,5.53,5.60,5.53
,,2010/11,6.07,5.41,5.88,5.76,,5.59,6.06,,5.93,5.84,5.65,5.45,5.90,5.63,5.77,5.87,5.42,5.69,5.72
,,2009/10,6.56,5.17,5.52,5.64,,5.77,5.70,,6.09,5.87,5.66,5.93,6.56,6.02,6.39,6.37,5.92,6.25,5.95
Wine_,,Market year*,Jan,Feb,Mar,Q1,,Apr,May,,Jun,Q2,Jul,Aug,Sep,Q3,Oct,Nov,Dec,Q4,Avg
,,2015,16.23,12.22,12.30,13.12,,NA,NA,,NA,NaN,NA,NA,NA,NaN,NA,NA,NA,NaN,13.12
,,2014,11.91,13.11,12.92,12.69,,12.15,11.51,,12.28,11.98,18.39,14.91,13.53,15.29,13.49,14.51,14.42,14.07,13.37
,,2013,11.87,12.73,12.86,12.50,,13.21,12.35,,12.12,12.55,19.84,14.41,13.99,16.14,14.29,15.49,13.46,14.39,13.95
,,2012,11.98,11.29,9.94,10.97,,12.60,12.18,,12.07,12.27,13.21,14.29,13.95,13.81,13.47,16.49,13.10,14.25,12.79
,,2011,11.49,12.14,11.29,11.63,,11.28,9.73,,10.32,10.42,12.15,12.67,12.01,12.29,12.54,14.55,13.82,13.64,11.89
,,2010,8.72,7.62,8.39,8.21,,9.59,9.22,,9.81,9.52,9.09,12.29,9.62,10.31,12.99,11.80,12.75,12.49,10.11
,,2009,7.33,7.71,7.16,7.38,,8.63,7.11,,7.75,7.76,8.70,7.39,7.81,7.89,9.20,10.99,8.69,9.61,8.16
,,,,,,,,,,,,,,,,,,,,,
,Unit value: Calculated by dividing value by volume.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
