,,,,,,,,,,,,,,,,,,,,,
Pistachios: U.S. exports by unit value ($ per pound),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Show/hide quarterly totals,,,Quarter 1,,,,,Quarter 2,,,,,Quarter 3,,,,Quarter 4,,,,
Fresh or dried_,,Market year*,Sep,Oct,Nov,Q1,,Dec,Jan,,Feb,Q2,Mar,Apr,May,Q3,Jun,Jul,Aug,Q4,Avg
,,2014/15,3.79,3.85,4.50,4.11,,4.22,3.99,,3.96,4.10,4.14,NA,NA,4.14,NA,NA,NA,NaN,4.11
,,2013/14,3.67,3.86,4.08,3.92,,3.85,3.55,,3.55,3.71,3.82,3.69,3.69,3.73,3.84,3.74,3.67,3.76,3.81
,,2012/13,3.00,3.11,3.28,3.18,,3.34,3.36,,3.28,3.33,3.43,3.45,3.40,3.43,3.36,3.41,3.47,3.43,3.32
,,2011/12,2.92,3.02,2.96,2.97,,3.03,2.97,,3.03,3.01,2.99,2.98,2.94,2.97,3.05,3.05,2.93,3.01,2.99
,,2010/11,2.51,2.63,2.80,2.70,,2.86,2.75,,2.74,2.81,2.69,2.71,2.86,2.76,2.89,2.90,2.92,2.90,2.79
,,2009/10,2.52,2.70,2.70,2.65,,2.79,2.85,,2.91,2.84,2.81,2.67,2.70,2.73,2.68,2.81,2.72,2.74,2.75
Prepared or preserved ,,Market year*,Sep,Oct,Nov,Q1,,Dec,Jan,,Feb,Q2,Mar,Apr,May,Q3,Jun,Jul,Aug,Q4,Avg
,,2014/15,2.08,1.98,2.04,2.03,,1.98,1.99,,2.08,2.00,2.05,NA,NA,2.05,NA,NA,NA,NaN,2.02
,,2013/14,1.99,2.00,1.94,1.97,,2.00,2.05,,2.10,2.05,2.14,1.86,2.01,2.02,2.08,2.09,2.04,2.07,2.02
,,2012/13,2.06,2.09,2.05,2.07,,2.07,2.02,,2.09,2.06,2.07,2.05,1.99,2.04,2.00,2.02,2.08,2.04,2.05
,,2011/12,2.13,2.07,2.06,2.08,,2.09,2.03,,2.09,2.07,2.08,2.17,2.15,2.13,2.11,2.05,2.03,2.07,2.09
,,2010/11,2.14,2.14,1.90,2.02,,1.53,1.80,,1.89,1.69,1.97,2.09,2.14,2.06,2.03,2.02,2.08,2.04,1.95
,,2009/10,1.82,2.24,2.01,2.08,,2.46,2.35,,2.31,2.39,2.25,2.11,2.41,2.23,2.18,2.19,1.96,2.11,2.21
,,,,,,,,,,,,,,,,,,,,,
,Unit value: Calculated by dividing value by volume.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
